group	block1group	word	cluster	sonDiff	corr_file	comparison_file	repair	whoIsCorrect	sylls
6	5	spaceship	sp	-1	boo-spaceship1.wav	tee-saceship1.wav	med_del	boo	2
4	6	sleeping	sl	2	boo-sleeping1.wav	tee-seeping2.wav	med_del	boo	2
8	2	sleeping	sl	2	boo-sleeping1.wav	tee-seeping2.wav	med_del	boo	2
2	8	sleeping	sl	2	boo-sleeping1.wav	tee-sEleeping2.wav	med_epen	boo	2
6	4	sleeping	sl	2	boo-sleeping1.wav	tee-sEleeping2.wav	med_epen	boo	2
7	3	smile	sm	1	boo-smile1.wav	tee-sEmile1.wav	med_epen	boo	2
3	7	smile	sm	1	boo-smile1.wav	tee-sEmile1.wav	med_epen	boo	2
7	3	spaceship	sp	-1	boo-spaceship1.wav	tee-sEpaceship1.wav	med_epen	boo	2
3	7	spaceship	sp	-1	boo-spaceship1.wav	tee-sEpaceship1.wav	med_epen	boo	2
5	1	swimming	sw	3	boo-swimming1.wav	tee-sEwimming2.wav	med_epen	boo	2
1	5	swimming	sw	3	boo-swimming1.wav	tee-sEwimming2.wav	med_epen	boo	2
5	1	smile	sm	1	boo-smile1.wav	tee-sile2.wav	med_del	boo	2
1	5	smile	sm	1	boo-smile1.wav	tee-sile2.wav	med_del	boo	2
2	3	swimming	sw	3	boo-swimming1.wav	tee-simming2.wav	med_del	boo	2
6	7	swimming	sw	3	boo-swimming1.wav	tee-simming2.wav	med_del	boo	2
7	6	swing	sw	3	boo-swing2.wav	tee-wing1.wav	init_del	boo	1
3	2	swing	sw	3	boo-swing2.wav	tee-wing1.wav	init_del	boo	1
